Governorate,District,Families_Anbar,Individuals_Anbar,Families_Diyala,Individuals_Diyala,Families_Ninewa,Individuals_Ninewa,Families_Salah al-Din,Individuals_Salah al-Din,Families,Individuals
Duhok,Amedi,158,948,,,4637,27822,,,4795,28770
Duhok,Dahuk,404,2424,,,21647,129882,,,22051,132306
Duhok,Sumel,11,66,,,28687,172122,,,28698,172188
Duhok,Zakho,17,102,,,21967,131802,,,21984,131904
Erbil,Erbil,1740,10440,25,150,8595,51570,6680,40080,17040,102240
Erbil,Koisnjaq,100,600,,,946,5676,85,510,1131,6786
Erbil,Makhmur,,,,,240,1440,,,240,1440
Erbil,Shaqlawa,2564,15384,,,789,4734,6820,40920,10173,61038
Erbil,Soran,800,4800,,,,,80,480,880,5280
Sulaymaniyah,Chamchamal,708,4248,,,381,2286,701,4206,1790,10740
Sulaymaniyah,Darbandihkan,113,678,386,2316,,,370,2220,869,5214
Sulaymaniyah,Dokan,492,2952,,,413,2478,355,2130,1260,7560
Sulaymaniyah,Halabja,29,174,,,,,179,1074,208,1248
Sulaymaniyah,Kalar,487,2922,1192,7152,,,,,1679,10074
Sulaymaniyah,Pshdar,,,,,50,300,,,50,300
Sulaymaniyah,Rania,103,618,,,53,318,,,156,936
Sulaymaniyah,Sharbazher,117,702,,,85,510,,,202,1212
Sulaymaniyah,Sulaymaniya,3236,19416,,,497,2982,5123,30738,8856,53136
Diyala,Khanaqin,,,6077,36462,,,,,6077,36462
Diyala,Kifri,,,2568,15408,,,,,2568,15408
Ninewa,Akre,,,,,6561,39366,,,6561,39366
Ninewa,Al-Shikhan,,,,,6475,38850,,,6475,38850

