code,governorate,govc_ar,capital,capital_ar,areasq.km,population1997-10-16census,population2003-01estimate,population2011estimate,src
1,Muhafazat Nineveh,محافظة نينوى,Al-Mosul ,الموصل,37323,2042852,2453116,3270422,http://www.geohive.com/cntry/iraq.aspx
2,Muhafazat Kirkuk,محافظة كركوك,Kirkuk ,كركوك,9679,753171,848007,1395614,http://www.geohive.com/cntry/iraq.aspx
3,Muhafazat Diala,محافظة ديالى,Baquba ,بعقوبة,17685,1135223,1224358,1443173,http://www.geohive.com/cntry/iraq.aspx
4,Muhafazat al-Anbar,محافظة الانبار,Al-Ramadi, الرمادي,138288,1023736,1230140,1561407,http://www.geohive.com/cntry/iraq.aspx
5,Muhafazat Baghdad,محافظة بغداد,Baghdad, بغداد,4555,5423964,6024299,7055196,http://www.geohive.com/cntry/iraq.aspx
6,Muhafazat Babylon,محافظة بابل,Al-Hilla, الحلة,5119,1181751,1385782,1820673,http://www.geohive.com/cntry/iraq.aspx
7,Muhafazat Kerbela,محافظة كربلاء,Kerbela ,كربلاء,5034,594235,723840,1066567,http://www.geohive.com/cntry/iraq.aspx
8,Muhafazat Wasit,محافظة واسط,Al-Kut, الكوت,17153,783614,913386,1210591,http://www.geohive.com/cntry/iraq.aspx
9,Muhafazat Salah al-Deen,محافظة صلاح الدين,Samarra ,سامراء,24075,904432,942314,1408174,http://www.geohive.com/cntry/iraq.aspx
10,Muhafazat al-Najaf,محافظة النجف,Al-Najaf, النجف,28824,775042,929995,1285484,http://www.geohive.com/cntry/iraq.aspx
11,Muhafazat al-Qadisiya,محافظة القادسية,Al-Diwaniya, الديوانية,8153,751331,886594,1134313,http://www.geohive.com/cntry/iraq.aspx
12,Muhafazat al-Muthanna,محافظة المثنى,Al-Samawa, السماوة,51740,436825,537658,719069,http://www.geohive.com/cntry/iraq.aspx
13,Muhafazat Thi Qar,محافظة ذي قار,Al-Nasiriya ,الناصرية,12900,1184796,1472098,1836181,http://www.geohive.com/cntry/iraq.aspx
14,Muhafazat Maysan,محافظة ميسان,Al-Amara, العمارة,16072,637126,803225,971448,http://www.geohive.com/cntry/iraq.aspx
15,Muhafazat Basrah,محافظة البصرة,Al-Basrah ,البصرة,19070,1556445,1880176,2531997,http://www.geohive.com/cntry/iraq.aspx
16,Muhafazat Duhouk,محافظة دهوك,Duhouk ,دهوك,6553,402970,782489,1128745,http://www.geohive.com/cntry/iraq.aspx
17,Muhafazat Erbil,محافظة أربيل,Erbil ,اربيل,15074,1095992,1313719,1612692,http://www.geohive.com/cntry/iraq.aspx
18,Muhafazat al-Sulaimaniya,محافظة السليمانية,Al-Sulaimaniya, السليمانية,17023,1362739,1546653,1878764,http://www.geohive.com/cntry/iraq.aspx

