"","Governorate","base2","total","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"1","Diyala","Disputed Territories",55542,7782,21888,25872,25590,7392,14496,0,22560,3312,0
"2","Ninewa","Disputed Territories",124842,1188,70476,53178,53010,51414,19062,4944,40674,7560,0
"3","Dahuk","KRI",452004,29382,177624,244998,244632,112674,64950,10308,158400,76290,0
"4","Erbil","KRI",156522,504,122682,33336,33276,10488,112194,16140,16818,378,0
"5","Sulaymaniyah","KRI",100968,312,92832,7824,7530,522,92310,1146,6372,306,0
"6","Anbar","Rest of Iraq",362238,216,274086,87936,84420,219516,54570,17298,41064,24354,5220
"7","Babylon","Rest of Iraq",31806,2604,20358,8844,7050,17550,2808,7104,1602,138,0
"8","Baghdad","Rest of Iraq",127446,9024,109260,9162,8442,85140,24120,3360,762,4548,492
"9","Basrah","Rest of Iraq",8712,42,8634,36,0,6840,1794,0,36,0,0
"10","Diyala","Rest of Iraq",19956,240,19068,648,648,16818,2250,0,300,0,348
"11","Kerbala","Rest of Iraq",63528,870,9132,53526,53400,3168,5964,53286,84,0,156
"12","Kirkuk","Rest of Iraq",171204,47460,84426,39318,39000,62082,22344,3204,30300,2004,3810
"13","Missan","Rest of Iraq",6750,552,3786,2412,2100,2844,942,0,0,2376,36
"14","Najaf","Rest of Iraq",80232,102,14832,65298,64938,618,14214,64956,0,294,48
"15","Ninewa","Rest of Iraq",41016,330,22422,18264,17166,18144,4278,2928,9468,5394,474
"16","Qadissiya","Rest of Iraq",16302,30,6414,9858,8160,3588,2826,5928,3228,60,642
"17","Salah al-Din","Rest of Iraq",43086,0,26916,16170,11958,15048,11868,1404,8136,6450,180
"18","Thi-Qar","Rest of Iraq",8790,420,6942,1428,1026,4752,2190,1344,0,6,78
"19","Wassit","Rest of Iraq",27900,180,3348,24372,23706,2544,804,23622,60,690,0
